steamid,communityvisibilitystate,profilestate,personaname,commentpermission,profileurl,avatarfull,personastate,realname,primaryclanid,timecreated,personastateflags,loccountrycode,locstatecode,loccityid,gameextrainfo,gameid,lobbysteamid,gameserverip,gameserversteamid,response
7.656119829430046e+16,3.0,1.0,Sói Bé Tí,2.0,https://steamcommunity.com/id/MixiGaming/,https://avatars.steamstatic.com/398550731145524545d97dd945832d9acbc9fa56_full.jpg,0.0,Mixigaming,1.0358279146473398e+17,1458929027.0,0.0,VN,05,,,,,,,
7.656119797397483e+16,3.0,1.0,Xemesis,,https://steamcommunity.com/id/Xemesis/,https://avatars.steamstatic.com/3878009d0d4503e6288c3741e9cb4fa293cb2ece_full.jpg,0.0,Hieu Nghiem,1.0358279143969318e+17,1107715164.0,0.0,VN,,,,,,,,
7.656119799360934e+16,3.0,1.0,Mixi,1.0,https://steamcommunity.com/id/mixinguyen/,https://avatars.steamstatic.com/8b2dd2c961f53665c1f081aa608660c4a2ef7334_full.jpg,0.0,❤ Mixi Nguyễn ❤,1.0358279145510994e+17,1192982556.0,0.0,VN,51,,,,,,,
7.656119804656214e+16,3.0,1.0,Hoàng Anh Gaming,,https://steamcommunity.com/id/hoanganhnguyenha/,https://avatars.steamstatic.com/fc5d8974fd3b0cd4519d382edd70e89172d6da5b_full.jpg,0.0,Hoàng Anh,1.035827914295214e+17,1312787346.0,0.0,VN,51,,,,,,,
7.656119806195347e+16,3.0,1.0,Shu Ku Chi,1.0,https://steamcommunity.com/id/shu0ku0chi/,https://avatars.steamstatic.com/be6c9a69f3156eab6602951cc3d83cd05e4efc68_full.jpg,0.0,,1.0358279143426293e+17,1334397546.0,0.0,VN,51,,,,,,,
7.656119806222626e+16,3.0,1.0,LeoPard,1.0,https://steamcommunity.com/id/efthunter/,https://avatars.steamstatic.com/7bc2f8a682b57c3375dafffac2ddf45097d79dd9_full.jpg,0.0,LeoPard,1.035827914299289e+17,1334832985.0,0.0,VN,51,,,,,,,
7.656119807676656e+16,3.0,1.0,MLCZ,1.0,https://steamcommunity.com/id/fighting1993/,https://avatars.steamstatic.com/3a2b3931537c2663ef6229bfd7751a41a288cdb6_full.jpg,0.0,LaggeR,1.035827914295214e+17,1353996003.0,0.0,LA,10,,,,,,,
7.656119807718669e+16,3.0,1.0,Wolf,1.0,https://steamcommunity.com/profiles/76561198077186687/,https://avatars.steamstatic.com/253853f9a46ee20503303fcd4296d07777d2358a_full.jpg,0.0,,1.0358279145510994e+17,1354254337.0,0.0,VN,,,,,,,,
7.656119809719995e+16,3.0,1.0,BomK Tay Bế Con,2.0,https://steamcommunity.com/id/bomman/,https://avatars.steamstatic.com/7842f8538f738e06f133a1842266af25fe339c63_full.jpg,0.0,Mai Nam Hải,1.0358279145469629e+17,1373346723.0,0.0,VN,51,,,,,,,
7.656119810977603e+16,3.0,1.0,QuangDeag,1.0,https://steamcommunity.com/id/kekwprotocol/,https://avatars.steamstatic.com/fc95f1709d5c69b00c4f700e2fe9bcb9ae393238_full.jpg,1.0,,1.035827914295214e+17,1380938807.0,0.0,,,,,,,,,
7.656119811018182e+16,3.0,1.0,Alexander Khôi,1.0,https://steamcommunity.com/id/lekhoi/,https://avatars.steamstatic.com/adcc452bac4c193f55fc3d512c1d7abdfdc78d33_full.jpg,0.0,Blues,1.0358279146473398e+17,1381215112.0,0.0,VN,51,,,,,,,
7.656119811668514e+16,3.0,1.0,Stupid Monkey,1.0,https://steamcommunity.com/id/stupidmonkey123/,https://avatars.steamstatic.com/4b529c29fedf7c34585e1475e81b12af34e760d8_full.jpg,0.0,Stupid Monkey™,1.035827914295214e+17,1385967163.0,0.0,VN,51,,,,,,,
7.656119812061152e+16,3.0,1.0,NAm,1.0,https://steamcommunity.com/id/levannambk92/,https://avatars.steamstatic.com/efcddff004f112fc1907c14694e19e0efc257105_full.jpg,0.0,,1.0358279143426293e+17,1388225724.0,0.0,VN,,,,,,,,
7.656119812833907e+16,3.0,1.0,Nhac,1.0,https://steamcommunity.com/id/nhacnguyen/,https://avatars.steamstatic.com/f4f2fc58620a769dfcc51defda89ed5cb8fa7d75_full.jpg,1.0,Nguyễn Đình Nhạc,1.035827914295214e+17,1393825111.0,0.0,FR,B5,15593.0,,,,,,
7.656119813481573e+16,3.0,1.0,Ơ,1.0,https://steamcommunity.com/id/kynnle/,https://avatars.steamstatic.com/82753f1d1208ab3370631f8559baf05852def6aa_full.jpg,0.0,Kien Le,1.0358279145449837e+17,1398659787.0,0.0,VN,51,,,,,,,
